Name,Platform,MSRP,Sale Price,Buy Digital,Buy Physical,Demo Available,DLC,Publisher,Developer,ESRB,Release Date,No. of Players,Rom File Size,Switch Online Play,Switch Online Save,Switch Online App,Action,Adventure,Application,Education,First-Person,Fitness,Music,Party,Puzzle,Racing,Role-Playing,Simulation,Sports,Strategy,M,u,l,t,i,p,l,a,y,e,r,Store Link,Official Site,Time Data Retrieved (UTC)
Pokémon Shield,Nintendo Switch,,,,True,,,Nintendo,GAME FREAK Inc.,Rating Pending,TBD,To be determined,,,,,,True,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pokemon-shield-switch,http://Pokemon.com/SwordShield,2019-05-15 01:28:50
Pokémon Sword,Nintendo Switch,,,,True,,,Nintendo,GAME FREAK Inc.,Rating Pending,TBD,To be determined,,,,,,True,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pokemon-sword-switch,http://Pokemon.com/SwordShield,2019-05-15 01:28:51
The Legend of Zelda: Link's Awakening,Nintendo Switch,,,,,,,Nintendo,,Rating Pending,2019,To be determined,,,,,True,True,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/the-legend-of-zelda-links-awakening-switch,,2019-05-15 01:28:52
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,Nintendo Switch,,,,True,,,Nintendo,"SQUARE ENIX CO., LTD.",Rating Pending,Fall 2019,1 player,,,,,,,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/dragon-quest-xi-s-echoes-of-an-elusive-age-definitive-edition-switch,,2019-05-15 01:28:52
ASTRAL CHAIN,Nintendo Switch,,,True,,,,Nintendo,PlatinumGames Inc,Rating Pending,"Aug 30, 2019",up to 2 players,,,,,True,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/astral-chain-switch,,2019-05-15 01:28:53
DAEMON X MACHINA,Nintendo Switch,,,,True,,,Nintendo,Marvelous Entertainment,Rating Pending,Summer 2019,1 player,,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/daemon-x-machina-switch,,2019-05-15 01:28:53
Fire Emblem: Three Houses - Seasons of Warfare Edition,Nintendo Switch,,,,True,,,Nintendo,,Rating Pending,"Jul 26, 2019",To be determined,,,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/fire-emblem-three-houses-seasons-of-warfare-edition-switch,,2019-05-15 01:28:54
Fire Emblem: Three Houses,Nintendo Switch,,,,True,,,Nintendo,,Rating Pending,"Jul 26, 2019",To be determined,,,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/fire-emblem-three-houses-switch,,2019-05-15 01:28:54
MARVEL ULTIMATE ALLIANCE 3: The Black Order,Nintendo Switch,$59.99,,True,True,,,Nintendo,"KOEI TECMO GAMES CO., LTD., 
                    
                        Team NINJA",Teen,"Jul 19, 2019",up to 4 players,,,,,True,,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/marvel-ultimate-alliance-3-the-black-order-switch,https://marvelultimatealliance3.nintendo.com/,2019-05-15 01:28:55
DRAGON QUEST BUILDERS 2,Nintendo Switch,,,,True,,,Nintendo,"SQUARE ENIX CO., LTD.",Everyone 10+,"Jul 12, 2019",up to 4 players,,,,,True,True,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/dragon-quest-builders-2-switch,,2019-05-15 01:28:55
Super Mario Maker 2,Nintendo Switch,,,True,True,,,Nintendo,Nintendo,Everyone,"Jun 28, 2019",To be determined,,,,,True,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/super-mario-maker-2-switch,https://supermariomaker.nintendo.com,2019-05-15 01:28:56
BOXBOY! + BOXGIRL!,Nintendo Switch,$9.99,,True,,True,,Nintendo,"HAL Laboratory, Inc.",Everyone,"Apr 26, 2019",up to 2 players,543 MB,,,,,,,,,,,,True,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/boxboy-and-boxgirl-switch,https://boxboy.nintendo.com/,2019-05-15 01:28:57
Yoshi's Crafted World,Nintendo Switch,$59.99,,True,True,True,,Nintendo,Good-Feel,Everyone,"Mar 28, 2019",up to 2 players,5.3 GB,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/yoshis-crafted-world-switch,https://yoshiscraftedworld.nintendo.com/,2019-05-15 01:28:57
Tetris® 99,Nintendo Switch,$0.00,,True,,,True,Nintendo,ARIKA,Everyone,"Feb 12, 2019",up to 99 players,244 MB,True,True,,,,,,,,,,True,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/tetris-99-switch,https://tetris99.nintendo.com/,2019-05-15 01:28:58
New Super Mario Bros. U Deluxe,Nintendo Switch,$59.99,,True,True,,,Nintendo,,Everyone,"Jan 10, 2019",up to 4 players,2.5 GB,,,,True,True,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/new-super-mario-bros-u-deluxe-switch,https://newsupermariobrosu.nintendo.com/,2019-05-15 01:28:58
Fitness Boxing,Nintendo Switch,$49.99,,True,True,True,,Nintendo,,Teen,"Jan 03, 2019",up to 2 players,1.0 GB,,,,,,,,,,True,,,,,,True,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/fitness-boxing-switch,,2019-05-15 01:28:59
Super Smash Bros. Ultimate,Nintendo Switch,$59.99,,True,True,,True,Nintendo,Nintendo / Sora Ltd. / BANDAI NAMCO Studios Inc,Everyone 10+,"Dec 06, 2018",up to 8 players,14.2 GB,True,True,True,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/super-smash-bros-switch,https://www.smashbros.com/,2019-05-15 01:29:00
Super Smash Bros. Ultimate Special Edition,Nintendo Switch,$139.99,,,True,,True,Nintendo,Nintendo / Sora Ltd. / BANDAI NAMCO Studios Inc,Everyone 10+,"Dec 06, 2018",up to 8 players,,True,True,True,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/super-smash-bros-ultimate-special-edition-switch,https://www.smashbros.com/,2019-05-15 01:29:00
"Pokémon: Let's Go, Pikachu!",Nintendo Switch,$59.99,,True,True,True,,Nintendo,GAME FREAK Inc.,Everyone,"Nov 15, 2018",up to 2 players,4.2 GB,True,,,,True,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pokemon-lets-go-pikachu-switch,https://pokemonletsgo.pokemon.com/en-us/,2019-05-15 01:29:01
"Pokémon: Let's Go, Eevee!",Nintendo Switch,$59.99,,True,True,True,,Nintendo,GAME FREAK Inc.,Everyone,"Nov 15, 2018",up to 2 players,4.2 GB,True,,,,True,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pokemon-lets-go-eevee-switch,https://pokemonletsgo.pokemon.com/en-us/,2019-05-15 01:29:01
Super Mario Party Bundle,Nintendo Switch,$99.99,,,True,,,Nintendo,Nintendo,Everyone,"Nov 15, 2018",up to 4 players,,True,True,,,,,,,,,True,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/super-mario-party-bundle-switch,https://supermarioparty.nintendo.com/,2019-05-15 01:29:02
DARK SOULS™: REMASTERED,Nintendo Switch,$39.99,,True,True,,,BANDAI NAMCO Entertainment,FromSoftware,Mature,"Oct 18, 2018",up to 6 players,4.0 GB,True,,,True,True,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/dark-souls-remastered-switch,,2019-05-15 01:29:02
The World Ends with You: Final Remix,Nintendo Switch,$49.99,,True,True,,,Nintendo,"SQUARE ENIX CO., LTD.",Teen,"Oct 11, 2018",up to 2 players,2.4 GB,,,,,,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/the-world-ends-with-you-final-remix-switch,,2019-05-15 01:29:03
Super Mario Party,Nintendo Switch,$59.99,,True,True,,,Nintendo,Nintendo,Everyone,"Oct 04, 2018",up to 4 players,2.8 GB,True,True,,,,,,,,,True,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/super-mario-party-switch,https://supermarioparty.nintendo.com/,2019-05-15 01:29:03
Kirby's Extra Epic Yarn,Nintendo 3DS,$39.99,,True,True,True,,Nintendo,,Everyone,"Mar 07, 2019",1 player,11656 Blocks,,,,True,True,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/kirbys-extra-epic-yarn-3ds,,2019-05-15 01:29:04
YO-KAI WATCH 3,Nintendo 3DS,$39.99,,True,True,,,Nintendo,LEVEL-5,Everyone 10+,"Feb 07, 2019",up to 4 players,27067 Blocks,,,,,True,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/yo-kai-watch-3-3ds,https://yo-kai.nintendo.com,2019-05-15 01:29:05
Mario & Luigi: Bowser's Inside Story + Bowser Jr's Journey,Nintendo 3DS,$39.99,,True,True,,,Nintendo,,Everyone,"Jan 10, 2019",1 player,5553 Blocks,,,,True,True,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/mario-and-luigi-bowsers-inside-story-3ds,https://marioandluigibowsersinsidestory.nintendo.com/,2019-05-15 01:29:05
Luigi's Mansion,Nintendo 3DS,$39.99,,True,True,,,Nintendo,Nintendo / Grezzo,Everyone,"Oct 11, 2018",up to 2 players,1772 Blocks,,,,True,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/luigis-mansion-3ds,http://luigismansion.nintendo.com/,2019-05-15 01:29:06
Metroid: Samus Returns,Nintendo 3DS,,,True,True,,,Nintendo,MercurySteam Entertainment / Nintendo,Everyone 10+,"Sep 14, 2017",1 player,5452 Blocks,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/metroid-samus-returns-3ds,https://metroidsamusreturns.nintendo.com/,2019-05-15 01:29:06
Shovel Knight: King of Cards,Nintendo 3DS,,,,,,,Yacht Club Games,Yacht Club Games,Everyone,2019,1 player,,,,,True,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/shovel-knight-king-of-cards-3ds,http://www.shovelknight.com,2019-05-15 01:29:07
Persona Q2: New Cinema Labyrinth,Nintendo 3DS,$39.99,,True,True,,,Sega,Atlus,Mature,"Jun 04, 2019",1 player,,,,,,True,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/persona-q2-new-cinema-labyrinth-3ds,https://atlus.com/personaq2/,2019-05-15 01:29:07
Horror Stories,Nintendo 3DS,$3.99,,True,,True,,RandomSpin,RandomSpin,Teen,"Mar 21, 2019",1 player,252 Blocks,,,,True,,,,,,,,True,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/horror-stories-3ds,,2019-05-15 01:29:08
Pinball Breaker,Nintendo 3DS,$6.99,,True,,,,nuGAME,nuGAME,Everyone,"Feb 14, 2019",1 player,455 Blocks,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pinball-breaker-3ds,,2019-05-15 01:29:08
Love Hero,New Nintendo 3DS systems only,$1.00,,True,,,,Batafurai,Butterfly,Everyone,"Feb 14, 2019",1 player,656 Blocks,,,,,,,,,,,,,,,,,True,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/love-hero-3ds,,2019-05-15 01:29:09
Vera Swings,New Nintendo 3DS systems only,$5.99,,True,,,,,Brett Yeager,Everyone,"Feb 07, 2019",1 player,870 Blocks,,,,True,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/vera-swings-3ds,,2019-05-15 01:29:10
Etrian Odyssey Nexus,Nintendo 3DS,$39.99,,True,True,,,Sega,Atlus,Teen,"Feb 05, 2019",1 player,6575 Blocks,,,,,,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/etrian-odyssey-nexus-3ds,https://atlus.com/etriannexus/,2019-05-15 01:29:10
Azure Snake,Nintendo 3DS,$0.99,,True,,,,RandomSpin,RandomSpin,Everyone,"Jan 24, 2019",1 player,219 Blocks,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/azure-snake-3ds,,2019-05-15 01:29:11
Phasmophobia: Hall of Specters 3D,New Nintendo 3DS systems only,$2.99,,True,,,,In-D Gaming,In-D Gaming,Teen,"Jan 17, 2019",1 player,286 Blocks,,,,True,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/phasmophobia-hall-of-specters-3d-3ds,,2019-05-15 01:29:11
Dragon's Wrath,Nintendo 3DS,$4.99,,True,,,,Gamers Digital,Codeglue,Everyone 10+,"Jan 17, 2019",1 player,575 Blocks,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/dragons-wrath-3ds,,2019-05-15 01:29:12
